,Geopolitical entity (reporting),TIME_PERIOD,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
273,Northern Ireland (UK) (NUTS 2021),2015,,4831.12,,,12.65,34.26,396.895,426.935,686.26,1533.81,13549.705,2836.23
274,Northern Ireland (UK) (NUTS 2021),2016,,3895.92,,,9.485,42.68,436.8,354.62,719.25,1676.675,12667.79,2893.87
275,Northern Ireland (UK) (NUTS 2021),2017,,3592.68,,,12.645,35.295,501.5,298.69,745.4,1767.895,12330.485,3290.305
276,Northern Ireland (UK) (NUTS 2021),2018,,3364.26,,,12.115,43.185,574.05,327.05,770.495,1907.01,12733.42,3595.985
277,Norway,2014,,7590.755,,,14.785,,830.955,541.905,921.19,1909.67,67301.275,23128.09
278,Norway,2015,,,,,12.23,,970.425,474.0,1079.495,2221.685,58525.275,21201.575
279,Norway,2016,,,23.44,10885.47,13.76,,1138.945,412.77,1490.565,2833.35,53256.305,18439.205
280,Norway,2017,,,41.78,10126.485,14.265,,1175.945,397.925,1476.045,2871.08,47985.025,17111.85
281,Norway,2018,,,18.34,11478.74,12.735,,1306.21,401.44,1392.815,2952.725,47031.665,16115.17
282,Norway,2019,,,23.94,10713.365,14.265,,1119.115,448.765,1268.875,2580.03,48159.2,14666.695
283,Norway,2020,,,20.375,9675.97,15.79,,1137.81,487.925,1216.755,2577.135,44065.44,13139.315
284,Norway,2021,,,15.785,9639.54,14.77,,1258.415,390.105,1425.46,2941.06,40300.385,8921.465
285,Norway,2022,,,20.88,11736.415,15.275,,1147.775,460.33,1278.64,2637.23,50571.27,7614.82
286,Norway,2023,,,14.255,,20.365,,1183.68,703.59,1267.68,2678.93,56508.57,8220.075
287,Poland,2014,,53588.585,,,141.37,146.385,397.545,6952.24,192.505,1469.355,84505.195,31986.915
288,Poland,2015,,47464.56,,,143.88,123.325,329.365,5118.43,211.055,1381.125,72797.04,27581.38
289,Poland,2016,3091.12,40069.26,3555.34,54466.58,128.335,,396.54,4829.685,257.175,1581.655,63362.45,30304.105
290,Poland,2017,2513.1,33945.16,3718.265,64688.91,139.365,,359.945,4067.685,228.6,1614.74,53602.29,32411.13
291,Poland,2018,4506.335,34665.04,5031.215,58869.61,132.85,,378.995,3409.455,209.05,1668.38,49546.625,30115.59
292,Poland,2019,2047.88,35790.005,3128.72,70199.885,102.77,,355.935,3245.025,288.76,1784.69,51427.575,33503.5
293,Poland,2020,2539.17,37349.135,3762.385,69275.525,130.845,,284.75,2650.965,180.475,1473.37,49389.275,33362.66
294,Poland,2021,2485.05,36834.085,3062.57,88688.76,132.85,,291.77,2443.44,176.965,1611.245,54503.66,34903.495
295,Poland,2022,1540.08,35221.29,2693.635,87503.27,129.345,,295.785,2422.415,179.475,1690.48,60611.04,35146.09
296,Poland,2023,1441.41,32338.75,1719.165,,147.4,,250.18,2332.33,200.545,1762.28,58750.915,33764.62
297,Portugal,2014,,17471.97,,,46.44,189.805,188.795,7871.775,987.885,1176.675,45957.05,2398.28
298,Portugal,2015,,14834.62,,,50.48,186.28,189.305,7810.565,1044.975,1234.285,49691.39,2674.535
299,Portugal,2016,34.835,13223.14,76.735,9835.195,33.32,149.43,169.12,6720.87,1079.335,1248.455,45084.285,2900.78
300,Portugal,2017,42.405,11547.43,88.855,11577.72,38.37,147.415,205.98,6000.14,1075.33,1281.31,44699.91,3271.93
301,Portugal,2018,35.845,11526.93,83.805,12074.705,40.895,137.825,212.545,5323.735,1030.92,1243.465,44209.965,3301.775
302,Portugal,2019,35.34,10820.275,85.825,15638.71,36.855,170.645,217.595,5516.16,1146.045,1363.64,41459.55,2902.47
303,Portugal,2020,31.3,9659.415,77.75,18681.2,40.895,128.235,159.03,4531.59,1069.79,1228.82,32895.93,2002.26
304,Portugal,2021,50.485,8282.655,107.03,20297.705,41.4,115.61,200.43,3985.325,1172.275,1372.7,32287.51,2242.06
305,Portugal,2022,28.27,8552.325,88.345,22549.745,37.86,126.205,262.005,4446.54,1264.6,1526.605,37036.85,3260.695
306,Portugal,2023,36.34,8073.04,112.56,,37.35,153.95,249.35,4524.115,1374.95,1624.3,37918.665,3866.925
